event_time,trip_id,stop_sequence,ron,fon,roff,foff
2019-09-04 01:29:47,911875020,20,0,0,0,0
2019-09-04 01:30:26,911875020,21,0,0,0,0
2019-09-04 01:02:39,911874020,32,0,0,0,1
2019-09-04 01:03:11,911874020,33,0,0,0,0
2019-09-04 01:03:43,911874020,34,0,0,0,0
2019-09-04 01:04:05,911874020,35,0,0,0,0
2019-09-04 01:04:19,911874020,35,0,3,1,1
2019-09-04 01:04:42,911874020,35,0,0,0,0
2019-09-04 01:05:03,911874020,36,0,0,0,0
2019-09-04 01:05:20,911874020,37,0,0,0,0
2019-09-04 00:01:09,911872020,15,0,0,0,0
2019-09-04 00:01:32,911872020,16,0,0,0,0
2019-09-04 00:02:04,911872020,17,0,3,0,0
2019-09-04 00:11:50,911872020,33,0,0,0,0
2019-09-04 00:12:00,911872020,34,0,0,0,0
2019-09-04 00:03:02,911872020,18,0,0,0,1
2019-09-04 00:03:38,911872020,19,0,0,0,0
2019-09-04 00:04:12,911872020,20,0,0,0,0
2019-09-04 00:04:24,911872020,20,0,1,1,0
2019-09-04 00:05:09,911872020,21,0,0,0,0
2019-09-04 01:09:24,911874020,42,0,0,0,0
2019-09-04 01:09:57,911874020,43,0,0,0,0
2019-09-04 01:10:23,911874020,44,0,0,2,0
2019-09-04 01:11:07,911874020,45,0,0,1,0
2019-09-04 01:11:30,911874020,46,0,0,0,0
2019-09-04 01:11:46,911874020,47,0,0,0,0
2019-09-04 01:12:18,911874020,48,0,0,1,1
2019-09-04 00:14:08,911872020,37,0,0,0,0
2019-09-04 00:53:06,911874020,15,0,0,0,1
2019-09-04 00:53:16,911874020,16,0,0,0,0
2019-09-04 00:54:52,911874020,17,0,0,0,0
2019-09-04 00:55:33,911874020,18,0,2,0,0
2019-09-04 00:56:39,911874020,19,0,0,0,0
2019-09-04 00:56:57,911874020,20,0,0,0,0
2019-09-04 00:43:46,911874020,5,0,1,0,0
2019-09-04 00:44:31,911874020,6,0,1,0,0
2019-09-04 00:46:36,911874020,7,0,0,0,0
2019-09-04 00:46:54,911874020,8,0,0,0,0
2019-09-04 00:23:39,911872020,54,0,0,0,0
2019-09-04 00:24:05,911872020,54,0,2,0,0
2019-09-04 00:24:27,911872020,55,0,0,0,0
2019-09-04 00:25:28,911872020,56,0,0,0,0
2019-09-04 00:25:53,911872020,57,0,0,0,0
2019-09-04 01:28:19,911875020,17,0,0,0,0
2019-09-04 01:28:46,911875020,18,0,0,0,0
2019-09-04 01:29:17,911875020,19,0,0,0,0
2019-09-04 00:22:43,911872020,53,0,0,0,0
2019-09-04 01:23:43,911875020,11,0,0,0,0
2019-09-04 01:24:23,911875020,12,0,3,0,0
2019-09-04 01:24:55,911875020,13,0,0,0,0
2019-09-04 01:25:28,911875020,13,0,0,1,0
2019-09-04 01:26:24,911875020,14,0,6,1,0
2019-09-04 01:27:32,911875020,15,0,0,0,0
2019-09-04 01:27:55,911875020,16,0,0,0,0
2019-09-04 01:07:03,911874020,39,0,0,1,0
2019-09-04 01:07:17,911874020,39,0,0,0,4
2019-09-04 00:08:10,911872020,27,0,1,0,0
2019-09-04 00:08:39,911872020,28,0,0,0,0
2019-09-04 00:09:01,911872020,28,0,1,0,0
2019-09-04 00:09:13,911872020,29,0,0,0,0
2019-09-04 00:09:41,911872020,30,0,0,0,0
2019-09-04 01:07:45,911874020,40,0,3,0,0
2019-09-04 01:08:32,911874020,41,0,0,0,0
2019-09-04 00:29:26,911872020,61,0,0,0,0
2019-09-04 00:29:31,911872020,61,0,1,0,2
2019-09-04 00:41:57,911874020,4,0,5,0,0
2019-09-04 00:57:12,911874020,21,0,0,0,0
2019-09-04 00:57:34,911874020,22,0,0,0,0
2019-09-04 00:57:58,911874020,23,0,0,0,0
2019-09-04 00:58:16,911874020,24,0,0,0,0
2019-09-04 00:58:29,911874020,25,0,0,0,0
